scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
86,37.78076,17.242432,1,32.791138,7.2631836,1,44.7840042114258,6.84957885742188,1,34.317017,-6.5460205,1,39.30664,-9.44519,1,44.174194,-10.559082,1
87,37.872314,17.211914,1,32.684326,7.217407,1,44.6767692565918,6.79162216186523,1,33.88977,-6.3476562,1,38.78784,-9.429932,1,43.685913,-10.5896,1
88,37.826538,17.25769,1,32.65381,7.3394775,1,44.6314811706543,6.60779571533203,1,33.447266,-6.1950684,1,38.238525,-9.338379,1,43.060303,-10.543823,1
89,37.79602,17.364502,1,32.485962,7.369995,1,44.4643707275391,6.65046119689941,1,33.02002,-5.92041,1,37.79602,-9.353638,1,42.510986,-10.574341,1
90,37.67395,17.410278,1,32.302856,7.537842,1,44.2644577026367,6.57863521575928,1,32.562256,-5.7525635,1,37.15515,-9.32312,1,41.778564,-10.574341,1
91,37.597656,17.501831,1,32.104492,7.7056885,1,44.0466613769531,6.52901935577393,1,32.13501,-5.5999756,1,36.636353,-9.307861,1,41.44287,-10.726929,1
92,37.41455,17.593384,1,31.936646,8.102417,1,43.8161125183106,6.40587949752808,1,31.585693,-5.4016113,1,36.117554,-9.277344,1,40.725708,-10.696411,1
93,37.368774,17.578125,1,31.585693,8.163452,1,43.4741744995117,6.53125476837158,1,31.173706,-5.203247,1,35.55298,-9.292603,1,40.17639,-10.7421875,1
94,37.200928,17.654419,1,31.448364,8.346558,1,43.2840728759766,6.36765813827515,1,30.731201,-5.0964355,1,34.988403,-9.292603,1,39.489746,-10.818481,1
95,37.109375,17.700195,1,31.173706,8.346558,1,43.0177001953125,6.41786766052246,1,30.303955,-4.8675537,1,34.454346,-9.231567,1,39.18457,-10.940552,1
