scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
86,-32.89795,14.862061,1,-39.993286,11.260986,1,-30.3257293701172,6.01328945159912,1,-28.549194,-7.873535,1,-22.003174,-10.940552,1,-17.852783,-11.550903,1
87,-33.294678,14.816284,1,-40.43579,11.245728,1,-30.7456932067871,6.03976917266846,1,-29.190063,-7.873535,1,-22.644043,-11.001587,1,-18.493652,-11.520386,1
88,-33.706665,14.73999,1,-40.893555,11.184692,1,-31.1091957092285,6.15813159942627,1,-29.815674,-7.7819824,1,-23.223877,-10.955811,1,-19.073486,-11.550903,1
89,-34.118652,14.694214,1,-41.3208,11.123657,1,-31.545015335083,6.08044338226318,1,-30.410767,-7.873535,1,-23.834229,-11.001587,1,-19.729614,-11.505127,1
90,-34.484863,14.663696,1,-41.778564,11.001587,1,-31.9563465118408,6.04941606521606,1,-31.021118,-7.9193115,1,-24.520874,-11.001587,1,-20.355225,-11.59668,1
91,-34.820557,14.587402,1,-42.129517,10.925293,1,-32.2681045532227,6.05163478851318,1,-31.646729,-7.9345703,1,-25.100708,-11.016846,1,-20.935059,-11.581421,1
92,-35.17151,14.480591,1,-42.541504,10.925293,1,-32.6768569946289,6.05818605422974,1,-32.226562,-7.9345703,1,-25.665283,-11.047363,1,-21.652222,-11.566162,1
93,-35.55298,14.434814,1,-42.922974,10.83374,1,-33.0182113647461,6.04879093170166,1,-32.821655,-7.949829,1,-26.306152,-11.09314,1,-22.155762,-11.59668,1
94,-35.7666,14.419556,1,-43.258667,10.83374,1,-33.3459396362305,6.0653190612793,1,-33.40149,-7.9345703,1,-26.885986,-11.047363,1,-22.781372,-11.59668,1
95,-36.132812,14.373779,1,-43.624878,10.83374,1,-33.7136268615723,6.06225442886353,1,-34.01184,-7.9345703,1,-27.557373,-11.062622,1,-23.4375,-11.59668,1
